ticker,Name,Market,symbol
ROALT.BX,ALTUR S.A.,BVB Standard,ALT
ALU.BX,ALUMIL ROM INDUSTRY S.A.,BVB Standard,ALU
ROARTE.BX,ARTEGO SA,BVB Standard,ARTE
BNET.BX,BITTNET SYSTEMS SA BUCURESTI,BVB Standard,BNET
CBC.BX,CARBOCHIM S.A.,BVB Standard,CBC
CEON.BX,CEMACON SA,BVB Standard,CEON
ROCMP.BX,COMPA S. A.,BVB Standard,CMP
COMI.BX,CONDMAG S.A.,BVB Standard,COMI
DAFR.BX,DAFORA SA,BVB Standard,DAFR
ELGS.BX,ELECTROARGES SA,BVB Standard,ELGS
RMAH.BX,FARMACEUTICA REMEDIA SA,BVB Standard,RMAH
IARV.BX,IAR SA Brasov,BVB Standard,IARV
MECE.BX,MECANICA FINA SA,BVB Standard,MECE
OIL.BX,OIL TERMINAL S.A.,BVB Standard,OIL
PREB.BX,PREBET SA AIUD,BVB Standard,PREB
PPL.BX,PROMATERIS S.A.,BVB Standard,PPL
MCAB.BX,ROMCAB SA,BVB Standard,MCAB
ROCE.BX,ROMCARBON SA,BVB Standard,ROCE
RRC.BX,ROMPETROL RAFINARE S.A.,BVB Standard,RRC
PTR.BX,ROMPETROL WELL SERVICES S.A.,BVB Standard,PTR
RPH.BX,ROPHARMA SA,BVB Standard,RPH
SNO.BX,SANTIERUL NAVAL ORSOVA S.A.,BVB Standard,SNO
STZ.BX,SINTEZA S.A.,BVB Standard,STZ
TRP.BX,TERAPLAST SA,BVB Standard,TRP
TBK.BX,TRANSILVANIA BROKER DE ASIGURARE,BVB Standard,TBK
TBM.BX,TURBOMECANICA S.A.,BVB Standard,TBM
EFO.BX,"TURISM, HOTELURI, RESTAURANTE MAREA NEAGRA S.A.",BVB Standard,EFO
VESY.BX,VES SA,BVB Standard,VESY
VNC.BX,VRANCART SA,BVB Standard,VNC
ROSCD.BX,ZENTIVA S.A.,BVB Standard,SCD
DIGI.BX,Digi Communications N.V.,BVB FOREIGN,DIGI
EBS.BX,Erste Group Bank AG,BVB FOREIGN,EBS
WINE.BX,PURCARI WINERIES PUBLIC COMPANY LIMITED,BVB FOREIGN,WINE
RO2P.BX,2PERFORMANT NETWORK,AeRO Premium Category,2P
ROADISS.BX,ADISS,AeRO Premium Category,ADISS
ROAAB.BX,AGROLAND AGRIBUSINESS,AeRO Premium Category,AAB
ROAG.BX,AGROLAND BUSINESS SYSTEM,AeRO Premium Category,AG
ROMILK.BX,AGROSERV MARIUTA,AeRO Premium Category,MILK
ROCLAIM.BX,AIR CLAIM,AeRO Premium Category,CLAIM
ROAPP.BX,APPRAISAL & VALUATION,AeRO Premium Category,APP
ROAST.BX,ARCTIC STREAM,AeRO Premium Category,AST
UARG.BX,ARGUS SA Constanta,AeRO Premium Category,UARG
ROAROBS.BX,AROBS TRANSILVANIA SOFTWARE,AeRO Premium Category,AROBS
ROASC.BX,ASCENDIA SA,AeRO Premium Category,ASC
ROBONA.BX,BONAS IMPORT EXPORT,AeRO Premium Category,BONA
BUCU.BX,BUCUR OBOR SA BUCURESTI,AeRO Premium Category,BUCU
BUCV.BX,BUCUR SA Bucuresti,AeRO Premium Category,BUCV
ROCC.BX,CONNECTIONS CONSULT S.A.,AeRO Premium Category,CC
ROFRB.BX,FIREBYTE GAMES,AeRO Premium Category,FRB
ROCAB.BX,GOCAB SOFTWARE S.A.,AeRO Premium Category,CAB
HAI.BX,Holde Agri Invest S.A. - Clasa A,AeRO Premium Category,HAI
ROHUNT.BX,IHUNT TECHNOLOGY IMPORT-EXPORT S.A.,AeRO Premium Category,HUNT
ARCV.BX,IMOTRUST SA ARAD,AeRO Premium Category,ARCV
AMAL.BX,INTERNATIONAL CAVIAR CORPORATION SA CALAN,AeRO Premium Category,AMAL
IPRU.BX,IPROEB SA Bistrita,AeRO Premium Category,IPRU
LIH.BX,LIFE IS HARD S.A.,AeRO Premium Category,LIH
ROMAM.BX,MAMBRICOLAJ S.A.,AeRO Premium Category,MAM
NRF.BX,NOROFERT S.A.,AeRO Premium Category,NRF
RORKOT.BX,RAIKO TRANSILVANIA,AeRO Premium Category,RKOT
ROSAFE.BX,SAFETECH INNOVATIONS,AeRO Premium Category,SAFE
ROSMTL.BX,SIMTEL TEAM,AeRO Premium Category,SMTL
ROREIT.BX,Star Residence Invest,AeRO Premium Category,REIT
ROBIOW.BX,VIFRANA,AeRO Premium Category,BIOW
ROALW.BX,VISUAL FAN,AeRO Premium Category,ALW
CPHA.BX,CEPROHART SA BRAILA,AeRO Standard Category,CPHA
CHOB.BX,CHIMCOMPLEX BORZESTI SA ONESTI,AeRO Standard Category,CHOB
COVB.BX,CONFECTII VASLUI SA Vaslui,AeRO Standard Category,COVB
CONQ.BX,CONTACTOARE SA BUZAU,AeRO Standard Category,CONQ
ELEL.BX,ELECTROCONSTRUCTIA ELCO SA SUCEAVA,AeRO Standard Category,ELEL
FLAO.BX,FLAROS SA BUCURESTI,AeRO Standard Category,FLAO
GAOY.BX,GASTRONOM SA BUZAU,AeRO Standard Category,GAOY
IASX.BX,IASITEX SA IASI,AeRO Standard Category,IASX
LACT.BX,LACTAG SA COSTESTI,AeRO Standard Category,LACT
LCSI.BX,LCS IMOBILIAR SA CLUJ NAPOCA,AeRO Standard Category,LCSI
MAMA.BX,MAGAZIN UNIVERSAL MARAMURES SA BAIA MARE,AeRO Standard Category,MAMA
PRIB.BX,PRIMCOM SA BUCURESTI,AeRO Standard Category,PRIB
PRSN.BX,PROSPECTIUNI SA BUCURESTI,AeRO Standard Category,PRSN
REFE.BX,REMARUL 16 FEBRUARIE SA CLUJ NAPOCA,AeRO Standard Category,REFE
ROBRNA.BX,ROMNAV SA BRAILA,AeRO Standard Category,BRNA
NCHI.BX,SCALA DEVELOPMENT S.A. CLUJ-NAPOCA,AeRO Standard Category,NCHI
STOF.BX,STOFE SA BUHUSI,AeRO Standard Category,STOF
TSND.BX,TUSNAD SA BAILE TUSNAD,AeRO Standard Category,TSND
ARAX.BX,ARMAX GAZ SA Medias,AeRO Base Category,ARAX
ADS.BX,ADIDAS AG ,ATS International Category,ADS
BAYN.BX,BAYER AG.,ATS International Category,BAYN
BMWG.BX,BAYERISCHE MOTOREN WERKE AG,ATS International Category,BMW
DAI.BX,DAIMLER A.G.,ATS International Category,DAI
LHA.BX,DEUTSCHE LUFTHANSA A.G.,ATS International Category,LHA
DTE.BX,DEUTSCHE TELEKOM AG.,ATS International Category,DTE
.BETI,BUCHAREST SE BET INDEX,INDEX,BET
BETF.BX,BET FI,INDEX,BETFI
.ROTX,ROMANIAN TRADED INDEX,INDEX,ROTX
.BETNG,BUCHAREST BET NG INDEX,INDEX,BETNG
